time 2,time 1,delay,,delay 2,delay 1,,jitter,,
25.320505,25.320469,3.6E-05,,3.6E-05,-3.6E-05,,7.2E-05,,
25.320774,25.320505,0.000269,,0.000269,-0.000269,,0.000538,,
25.477216,25.320774,0.156442,,0.156442,-0.156442,,0.312884,,
25.725785,25.477216,0.248569,,0.248569,-0.248569,,0.497138,,
25.86776,25.725785,0.141975,,0.141975,-0.141975,,0.28395,,
26.062835,25.86776,0.195075,,0.195075,-0.195075,,0.39015,,
26.062835,26.062835,0,,0,0,,0,,
26.093548,26.062835,0.030713,,0.030713,-0.030713,,0.061426,,
26.487339,26.093548,0.393791,,0.393791,-0.393791,,0.787582,,
26.487777,26.487339,0.000438,,0.000438,-0.000438,,0.000876,,
26.854252,26.487777,0.366475,,0.366475,-0.366475,,0.73295,,
26.855322,26.854252,0.00107,,0.00107,-0.00107,,0.00214,,
26.865797,26.855322,0.010475,,0.010475,-0.010475,,0.02095,,
27.034565,26.865797,0.168768,,0.168768,-0.168768,,0.337536,,
27.034766,27.034565,0.000201,,0.000201,-0.000201,,0.000402,,
27.203171,27.034766,0.168405,,0.168405,-0.168405,,0.33681,,
27.203171,27.203171,0,,0,0,,0,,
27.213848,27.203171,0.010677,,0.010677,-0.010677,,0.021354,,
27.427265,27.213848,0.213417,,0.213417,-0.213417,,0.426834,,
27.498737,27.427265,0.071472,,0.071472,-0.071472,,0.142944,,
27.691152,27.498737,0.192415,,0.192415,-0.192415,,0.38483,,
27.702125,27.691152,0.010973,,0.010973,-0.010973,,0.021946,,
28.040682,27.702125,0.338557,,0.338557,-0.338557,,0.677114,,
28.598838,28.040682,0.558156,,0.558156,-0.558156,,1.116312,,
28.598889,28.598838,5.1E-05,,5.1E-05,-5.1E-05,,0.000102,,
28.698829,28.598889,0.09994,,0.09994,-0.09994,,0.19988,,
28.700505,28.698829,0.001676,,0.001676,-0.001676,,0.003352,,
28.864862,28.700505,0.164357,,0.164357,-0.164357,,0.328714,,
28.864922,28.864862,6E-05,,6E-05,-6E-05,,0.00012,,
28.874899,28.864922,0.009977,,0.009977,-0.009977,,0.019954,,
29.042905,28.874899,0.168006,,0.168006,-0.168006,,0.336012,,
29.043005,29.042905,1E-04,,1E-04,-1E-04,,0.0002,,
29.043291,29.043005,0.000286,,0.000286,-0.000286,,0.000572,,
29.094836,29.043291,0.051545,,0.051545,-0.051545,,0.10309,,
29.235352,29.094836,0.140516,,0.140516,-0.140516,,0.281032,,
30.002711,29.235352,0.767359,,0.767359,-0.767359,,1.534718,,
30.028051,30.002711,0.02534,,0.02534,-0.02534,,0.05068,,
30.703726,30.028051,0.675675,,0.675675,-0.675675,,1.35135,,
30.71452,30.703726,0.010794,,0.010794,-0.010794,,0.021588,,
30.895312,30.71452,0.180792,,0.180792,-0.180792,,0.361584,,
30.895932,30.895312,0.00062,,0.00062,-0.00062,,0.00124,,
30.896157,30.895932,0.000225,,0.000225,-0.000225,,0.00045,,
30.906481,30.896157,0.010324,,0.010324,-0.010324,,0.020648,,
31.01626,30.906481,0.109779,,0.109779,-0.109779,,0.219558,,
31.081072,31.01626,0.064812,,0.064812,-0.064812,,0.129624,,
31.082409,31.081072,0.001337,,0.001337,-0.001337,,0.002674,,
31.252438,31.082409,0.170029,,0.170029,-0.170029,,0.340058,,
31.253151,31.252438,0.000713,,0.000713,-0.000713,,0.001426,,
31.253221,31.253151,7E-05,,7E-05,-7E-05,,0.00014,,
31.263517,31.253221,0.010296,,0.010296,-0.010296,,0.020592,,
31.71181,31.263517,0.448293,,0.448293,-0.448293,,0.896586,,
31.736107,31.71181,0.024297,,0.024297,-0.024297,,0.048594,,
32.131956,31.736107,0.395849,,0.395849,-0.395849,,0.791698,,
32.547587,32.131956,0.415631,,0.415631,-0.415631,,0.831262,,
32.558676,32.547587,0.011089,,0.011089,-0.011089,,0.022178,,
33.01598,32.558676,0.457304,,0.457304,-0.457304,,0.914608,,
33.030742,33.01598,0.014762,,0.014762,-0.014762,,0.029524,,
33.064809,33.030742,0.034067,,0.034067,-0.034067,,0.068134,,
33.064904,33.064809,9.5E-05,,9.5E-05,-9.5E-05,,0.00019,,
33.065761,33.064904,0.000857,,0.000857,-0.000857,,0.001714,,
33.076831,33.065761,0.01107,,0.01107,-0.01107,,0.02214,,
33.24747,33.076831,0.170639,,0.170639,-0.170639,,0.341278,,
33.24747,33.24747,0,,0,0,,0,,
33.247539,33.24747,6.9E-05,,6.9E-05,-6.9E-05,,0.000138,,
33.258565,33.247539,0.011026,,0.011026,-0.011026,,0.022052,,
33.363638,33.258565,0.105073,,0.105073,-0.105073,,0.210146,,
33.416136,33.363638,0.052498,,0.052498,-0.052498,,0.104996,,
33.416234,33.416136,9.8E-05,,9.8E-05,-9.8E-05,,0.000196,,
33.557433,33.416234,0.141199,,0.141199,-0.141199,,0.282398,,
33.60926,33.557433,0.051827,,0.051827,-0.051827,,0.103654,,
33.6093,33.60926,4E-05,,4E-05,-4E-05,,8E-05,,
33.736926,33.6093,0.127626,,0.127626,-0.127626,,0.255252,,
33.736926,33.736926,0,,0,0,,0,,
